model,mse,r_squared,aic,bic
Basic Single-Stage,0.008274081255141242,0.7458285959092166,-139.83519615244413,-137.0328013891198
Basic Two-Stage,0.008905878682226974,0.7264204182286381,-137.627942453686,-134.82554769036167
Weber Single-Stage,0.006665994948627853,0.7952273801152212,-146.3175815904332,-143.5151868271089
Weber Two-Stage,0.006683024086104921,0.7947042622427309,-146.24105194126895,-143.43865717794463
Linear Regression,0.006540843640539764,0.7990719016662734,-146.8860875305037,-144.08369276717937
