llm_model,model_pretty,ablation,ablation_pretty,modality,combo_model,prob,nrmse,w_img
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,EmpiricalLinear,0.9992039157234918,0.4328630370389296,0.554509993422069
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,Bayes(stimulus),0.0007959316572132,0.33898300301524126,0.4031047631601438
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,Equal,1.526191863638539e-07,0.34653999271341246,0.5
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,Bayes(range),1.0854293423003771e-13,0.3184045278944782,0.34815612099873183
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,EmpiricalLinear,0.9999999980380532,0.6096700925826104,0.23474554996383618
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,Equal,1.436932007135485e-09,0.5616445345438448,0.5
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,Bayes(range),5.250149281649622e-10,0.5409137756759625,0.47116237704727976
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,Bayes(stimulus),3.0334102112600475e-20,0.6482676027266632,0.753495954539705
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,EmpiricalLinear,0.9999999961257032,0.3548973195656277,0.28584917897167356
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,Equal,3.6748968849288967e-09,0.38297440859196774,0.5
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,Bayes(range),1.99400152722256e-10,0.3799664595741454,0.5481487862969495
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,Bayes(stimulus),1.4764976924017742e-17,0.39002908812007736,0.648466199631781
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,EmpiricalLinear,0.9999999991910584,0.6255153417008568,0.9130567147210824
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Bayes(stimulus),4.5565050137086474e-10,0.6287032945798527,0.6789630546645201
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Equal,3.4944014875729346e-10,0.5094016925538346,0.5
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Bayes(range),3.851001713443751e-12,0.49209890513629867,0.4561105121999606
openai_gpt-4.1-mini,GPT 4.1 mini,base_4,Short context,text_image,EmpiricalLinear,0.9999450036750168,0.23096327556359442,0.854027897436288
openai_gpt-4.1-mini,GPT 4.1 mini,base_4,Short context,text_image,Bayes(range),5.49963249214699e-05,0.20333140999268498,0.6449699483791966
openai_gpt-4.1-mini,GPT 4.1 mini,base_4,Short context,text_image,Bayes(stimulus),3.3635927418260524e-14,0.23742190451195844,0.6671048343473772
openai_gpt-4.1-mini,GPT 4.1 mini,base_4,Short context,text_image,Equal,2.804445250055332e-14,0.25736421111160823,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,EmpiricalLinear,0.999692086373328,0.8934855212552765,0.40919663759960506
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Equal,0.0003070249127972,0.8422366562044951,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Bayes(range),7.193571831591771e-07,0.7093024469814052,0.20808849346527958
