model,mse,r_squared,aic,bic
Basic Single-Stage,0.0023328222222222432,0.9552949222642585,-177.80743750197345,-175.00504273864914
Basic Two-Stage,0.0023332469492218016,0.9552867830012873,-177.8019783669204,-174.99958360359608
Weber Single-Stage,0.002371602684385304,0.954551752227934,-177.31303241981283,-174.5106376564885
Weber Two-Stage,0.0023721863401014215,0.9545405673318406,-177.3056533848488,-174.50325862152448
Linear Regression,0.002172360129323794,0.9583699402696304,-179.94442587032685,-177.14203110700254
