model,mse,r_squared,aic,bic
Basic Single-Stage,0.023509675503933125,0.5229976954255344,-108.50902052664085,-105.70662576331654
Basic Two-Stage,0.023394011253913338,0.5253444787236317,-108.65697420874459,-105.85457944542027
Weber Single-Stage,0.023117077815362375,0.5309633520415743,-109.01421134324552,-106.2118165799212
Weber Two-Stage,0.02330680027263419,0.5271139561052907,-108.7690159635743,-105.96662120024999
Linear Regression,0.02301134858555219,0.5331085575877719,-109.15172936316635,-106.34933459984204
