model,mse,r_squared,aic,bic
Basic Single-Stage,7.851394119862825,0.2181117574079845,59.63866343353579,62.23033716554445
Basic Two-Stage,7.807512331797221,0.22248176528538932,59.48733597888612,62.07900971089478
Weber Single-Stage,7.72056900582152,0.23114009568053107,59.18498129907382,61.77665503108248
Weber Two-Stage,7.715443685419348,0.231650505386221,59.167051327029576,61.758725059038234
Linear Regression,7.510367364909388,0.2520732177596985,58.439681891351285,61.03135562335994
