model,mse,r_squared,aic,bic
Basic Single-Stage,0.002468274681696975,0.9385265204379264,-176.1149246780305,-173.31252991470618
Basic Two-Stage,0.0024734979816286324,0.9383964318282686,-176.0515321772309,-173.2491374139066
Weber Single-Stage,0.0022358563201552,0.9443150031801575,-179.08051482036456,-176.27812005704024
Weber Two-Stage,0.002236144506901039,0.9443078257609822,-179.07665000105794,-176.27425523773363
Linear Regression,0.0022240197312238894,0.9446097986958872,-179.2396848631238,-176.4372900997995
