range_category,regression_angle,scalar_variability,short_vs_medium_t,medium_vs_long_t,response_autocorr,stimulus_autocorr
short,2.3579311774425227,0.1540985079321612,,,0.7199553236963386,0.23502816576403177
medium,7.4359849528126505,0.05358418705394219,,2.714859437578828,-0.17017375673765656,0.23525030686203605
long,7.11412747711049,0.01875316907628279,,,-0.7134211323960772,0.23502816576403165
