model,scope,k,aic,rmse_to_llm,r2_to_llm,r2_to_truth,rmse_vs_truth,bias_vs_truth,aic_weight,base,LLM_model,w_img,rebased_RMSE
Combo_NonOracle,overall,0.0,-589.1342406428521,0.1403268685781262,0.6830100351075103,0.7817919438626189,0.0983510542141309,-0.0004381756033396,0.7069138752212908,base_4,google_gemini-2.5-flash-lite,3.847962747933363e-05,1.0886659362183935
Combo_Oracle,overall,0.0,-586.0530636680304,0.1417755348940392,0.6764313515886159,0.7846640788550802,0.0977016437482806,3.049412574303763e-16,0.1514598167568106,base_4,google_gemini-2.5-flash-lite,0.002976684895559331,1.0814774921448234
EmpiricalLinear,overall,2.0,-585.9188068705868,0.1399603622946504,0.6846637041013279,0.7797057373844289,0.0988200848414061,0.0013885756467439,0.1416263080218986,base_4,google_gemini-2.5-flash-lite,0.0007855545354128329,1.0938577226312358
Equal,overall,0.0,573.9344156549972,6.774155563000307,-737.7103384781875,-1036.9181471536378,6.783052552720871,1.2220702002442003,1.9598225645174368e-253,base_4,google_gemini-2.5-flash-lite,0.5,75.08285820352134
LLM(Combined),overall,,,0.0,1.0,0.8158882475059711,0.0903408942469208,-0.0254006666666666,,base_4,google_gemini-2.5-flash-lite,,1.0
Combo_NonOracle,overall,0.0,-568.0545137139234,0.0809830384990917,0.7368227192116592,0.5595210605405455,0.1395981267406699,-0.06675899542172,0.6293771109491889,base_4,meta-llama_llama-4-maverick,0.45374064893873534,1.0263508559647359
Equal,overall,0.0,-566.2447651375207,0.0816341327948557,0.7325738774892567,0.5610826950291345,0.1393504476878221,-0.0659279646017699,0.254641412322017,base_4,meta-llama_llama-4-maverick,0.5,1.0245298744528055
EmpiricalLinear,overall,2.0,-564.6719134688744,0.0807621063073274,0.7382567237122661,0.5563368902191936,0.1401017873538003,-0.067597814189251,0.1159814767287942,base_4,meta-llama_llama-4-maverick,0.4070477815835607,1.030053860535581
Combo_Oracle,overall,0.0,-488.0116529502845,0.115400845624922,0.4655854881975046,0.7042373575244415,0.1143901620502228,-3.085044510905302e-16,2.617125637467806e-18,base_4,meta-llama_llama-4-maverick,0.4221729430340506,0.8410173078632504
LLM(Combined),overall,,,0.0,1.0,0.5818487005837405,0.1360140403541168,-0.0846005309734513,,base_4,meta-llama_llama-4-maverick,,1.0
Equal,overall,0.0,-787.2085707246753,0.0712443686694892,0.8830278703582792,0.8373043091482688,0.0849596862315519,-0.0579030872483221,0.5316963827867753,base_4,openai_gpt-4o-2024-08-06,0.5,1.0354881409891439
EmpiricalLinear,overall,2.0,-786.6935299208034,0.070416054628031,0.885731983575774,0.836516626791558,0.0851651017595109,-0.0593390372435861,0.4109831497340868,base_4,openai_gpt-4o-2024-08-06,0.5689071012220077,1.0379917441992224
