range_category,regression_angle,scalar_variability,short_vs_medium_t,medium_vs_long_t,response_autocorr,stimulus_autocorr
short,6.581241630445303,0.3449161882607449,-10.822231383623812,,0.2465426418640312,0.09922295496014685
medium,32.461320971012086,0.29351786863855267,,0.41538461538461574,0.06315424072311931,0.09939484214038317
long,52.485031234127035,0.2276961229379153,,,0.1537932078276615,0.09922295496014666
