model,mse,r_squared,aic,bic
Basic Single-Stage,0.012958889487809645,0.7491643139695129,-126.37688345808641,-123.5744886947621
Basic Two-Stage,0.011571105765896938,0.7760266220612192,-129.77473256296,-126.97233779963568
Weber Single-Stage,0.012879893241959511,0.7506933861589387,-126.56030628880373,-123.75791152547941
Weber Two-Stage,0.01151318690888508,0.7771477147479295,-129.92526079027652,-127.12286602695221
Linear Regression,0.012938216516583447,0.7495644654581639,-126.42477617441392,-123.6223814110896
