model,mse,r_squared,aic,bic
Basic Single-Stage,0.06927624197061659,-0.17616709627532368,-76.0891647624002,-73.28676999907589
Basic Two-Stage,0.07197390130813267,-0.22196776414486652,-74.94313441043981,-72.1407396471155
Weber Single-Stage,0.07065091431358884,-0.19950618529013275,-75.49970223454825,-72.69730747122394
Weber Two-Stage,0.07823110612749624,-0.3282021413836369,-72.44225454197284,-69.63985977864853
Linear Regression,0.05334975595750791,0.09423164758051117,-83.9260139467864,-81.12361918346208
