model,scope,k,aic,rmse_to_llm,r2_to_llm,r2_to_truth,rmse_vs_truth,bias_vs_truth,aic_weight,base,LLM_model,w_img,rebased_RMSE
EmpiricalLinear,overall,2.0,-732.0040206364803,0.0860052674210303,0.4465811063564368,0.1091451848649547,0.1987286266313026,-0.1308701208907432,0.9999742861497364,base_4,google_gemini-2.5-flash-lite,0.8171901412498003,0.8976899335673637
Combo_NonOracle,overall,0.0,-710.867110435766,0.0935221441553067,0.345615820670819,0.2834313678084879,0.1782320744396313,-0.1081795586627991,2.5713849644618353e-05,base_4,google_gemini-2.5-flash-lite,0.6244354117834628,0.8051036318996238
Equal,overall,0.0,-675.7831346917991,0.1051244440658961,0.1731793686044606,0.3636065714297153,0.1679653922910344,-0.0935313606017206,6.191253203853957e-13,base_4,google_gemini-2.5-flash-lite,0.5,0.7587273378942816
Combo_Oracle,overall,0.0,-522.5923907554518,0.1751741537066987,-1.2958522563860129,0.5604046610993612,0.1395993849329736,-6.513308411134252e-17,3.363807856903409e-46,base_4,google_gemini-2.5-flash-lite,0.4509962221845863,0.63059341128052
LLM(Combined),overall,,,0.0,1.0,-0.1054884803616471,0.2213778045182789,-0.1521499999999999,,base_4,google_gemini-2.5-flash-lite,,1.0
Combo_Oracle,overall,0.0,-369.1113126010033,0.1227969172901851,0.5039130013612196,0.613811298352289,0.1326483425199656,1.2994655856408082e-16,0.9999703236187414,base_4,meta-llama_llama-4-maverick,0.22429077205852205,1.0563347029397432
EmpiricalLinear,overall,2.0,-348.26061601610786,0.1351350307248983,0.3992153803721516,0.6349585775172704,0.1289653733744325,-0.0204991161763014,2.9669885901036266e-05,base_4,meta-llama_llama-4-maverick,0.17891727786428147,1.0270056661468607
Combo_NonOracle,overall,0.0,-331.29961947949005,0.1522267335295855,0.2376317987092481,0.565829329399576,0.1406475874168716,-0.0544668848132784,6.155768436513653e-09,base_4,meta-llama_llama-4-maverick,0.45826270149043075,1.1200360641583624
Equal,overall,0.0,-325.5048023275618,0.1573222382491657,0.1857399085059827,0.5369880134601994,0.1452439873188309,-0.0595420454545454,3.3958908133900327e-10,base_4,meta-llama_llama-4-maverick,0.5,1.1566391353523928
LLM(Combined),overall,,,0.0,1.0,0.6539040886185357,0.1255741595450853,0.0260795454545454,,base_4,meta-llama_llama-4-maverick,,1.0
Combo_Oracle,overall,0.0,-710.4520443965326,0.0936516265941223,0.6573691212664055,0.8059797148048824,0.0927428707134721,6.809367884367625e-17,0.9963202827863464,base_4,openai_gpt-4o-2024-08-06,0.5113561351788893,0.8485042641034957
EmpiricalLinear,overall,2.0,-698.629246709359,0.0961258038074376,0.6390260854035973,0.7554300284184432,0.1041258433481481,0.0239037938863344,0.0026984294845061,base_4,openai_gpt-4o-2024-08-06,0.636351743731325,0.9526470488199167
