scope,model,r2,aic,aic_weight,w_p,gain_factor
overall,Linear_basic,0.5743072942735032,-247.36908154708001,0.6302647709948086,,
overall,StaticGain_basic,0.5743072942734777,-245.36908154707,0.23186145174245745,0.0,0.5736592609924591
overall,SeqGain_basic,0.5713467045116508,-244.3294787602195,0.13787377726273395,0.009900990099009901,0.5738074468924499
overall,Static_basic,0.25816778910307225,-164.0582792246116,5.114605801033523e-19,0.03996873337731418,
overall,Seq_basic,0.256151797909258,-163.65119454875304,4.1726778136411623e-19,0.009900990099009901,
overall,Linear_weber,-0.004997727289854703,291.219223836405,7.023579617446269e-118,,
overall,Static_weber,0.3665614437392758,292.6968276847895,3.355064787263914e-118,0.0,
overall,Seq_weber,0.36251345166411597,292.75009788953054,3.2668818867154216e-118,0.009900990099009901,
overall,StaticGain_weber,-0.004994883058810684,293.21922383643295,2.583830544653135e-118,0.0,1.3031485721528113
overall,SeqGain_weber,-0.011205971297506556,293.2535975983157,2.539801997200948e-118,0.009900990099009901,1.3059811980646856
range:long,Static_weber,0.5593198861055729,-108.65858143609245,0.31294713260776086,0.1594460901457741,
range:long,Linear_weber,0.5593198894553412,-108.65858143609204,0.3129471326076964,,
range:long,StaticGain_weber,0.5593198953077624,-106.6585814360925,0.1151268162599516,0.7435514421394326,3.2776707742764843
range:long,Seq_weber,0.5718859648592627,-106.14275560334158,0.08895417544481989,0.009900990099009901,
range:long,SeqGain_weber,0.5532511171643191,-106.11076928174309,0.08754283300920024,0.009900990099009901,0.8425993408472556
range:long,Static_basic,0.5793588932691334,-103.99643808221853,0.030415811670322278,0.2113457301863113,
range:long,Linear_basic,0.5793588932691316,-103.9964380822185,0.03041581167032185,,
range:long,StaticGain_basic,0.5793588932691327,-101.99643808221876,0.011189351800055267,0.16220444318707936,0.9413445753994573
range:long,SeqGain_basic,0.5739621907961685,-101.35903286778948,0.008135685370445782,0.009900990099009901,0.7908004463941478
range:long,Seq_basic,0.5337950235815558,-98.85416763569046,0.00232524955942581,0.009900990099009901,
range:medium,Static_basic,0.8702423793150211,-150.08992112748209,0.22183559664411434,0.12192830989311583,
range:medium,Linear_basic,0.8702423793150166,-150.08992112748012,0.22183559664389682,,
range:medium,Linear_weber,0.869044868070897,-149.65663107284183,0.17862551592300815,,
range:medium,StaticGain_basic,0.8702423793150175,-148.0899211274811,0.08160875532532968,0.570304609172671,2.043474874120093
range:medium,StaticGain_weber,0.8690448664751118,-147.6566310728429,0.0657126549767523,0.46328354364620655,2.0222239708040544
range:medium,SeqGain_basic,0.86891728972059,-147.58190881640087,0.06330285281662598,0.009900990099009901,0.8839171601349471
range:medium,Static_weber,0.8657392697748347,-147.38471280824498,0.05735915084646079,0.0,
range:medium,SeqGain_weber,0.8679115619440634,-147.34885613406271,0.056339960151319694,0.009900990099009901,1.0925713828910797
range:medium,Seq_weber,0.863527130792819,-146.7392912265067,0.04153853710878333,0.009900990099009901,
range:medium,Seq_basic,0.854105798698517,-144.2292483034922,0.011841379563708869,0.02098315795863942,
range:short,Linear_basic,0.7610929426324469,-99.11149629812707,0.4432187316846422,,
range:short,SeqGain_basic,0.7684874575160169,-98.68352348481012,0.35783679140205416,0.10940548081614654,1.3671498354570422
range:short,StaticGain_basic,0.7610929426324464,-97.11149629812678,0.16305105932883845,0.2062424840654663,1.5867197430892583
range:short,Static_basic,0.7287902950841563,-92.77060902194557,0.018608524107363366,0.0,
range:short,Seq_basic,0.7279886442426644,-92.62303532102081,0.017284893477101947,0.009900990099009901,
range:short,Linear_weber,-0.6958876480302167,111.3302841636939,8.907710589159777e-47,,
range:short,SeqGain_weber,0.0388640900596533,112.68658929699242,4.5211423460938775e-47,0.2787471842701528,2.6959251803173725
range:short,StaticGain_weber,-0.6958915683738987,113.33028416370243,3.2769635936430673e-47,5.107502732339262e-06,2.5204955141490277
range:short,Static_weber,0.08287161951897382,114.83330419166052,1.545592367134245e-47,0.0,
range:short,Seq_weber,0.0776343973845639,114.84840893015595,1.5339634510795847e-47,0.009900990099009901,
