model,mse,r_squared,aic,bic
Basic Single-Stage,0.006449694026222241,0.8641317156851818,-147.30702658995008,-144.50463182662577
Basic Two-Stage,0.00645003935390081,0.8641244410642428,-147.30542063049418,-144.50302586716987
Weber Single-Stage,0.006549288929504208,0.8620336644318347,-146.847383567995,-144.04498880467068
Weber Two-Stage,0.006549860743912242,0.8620216186755165,-146.84476480053112,-144.0423700372068
Linear Regression,0.006387963992692564,0.8654321112872482,-147.59549459618538,-144.79309983286106
