range_category,stimulus_id,w_img_bayes,w_txt_bayes
short,0,0.9999046731978766,9.532680212342992e-05
short,1,0.09202979004968181,0.9079702099503182
short,2,0.2546354825115887,0.7453645174884114
short,3,0.4118193072150471,0.5881806927849529
short,4,0.34536213468869115,0.6546378653113089
short,5,0.9940810190117669,0.005918980988233069
short,6,0.032618935729953315,0.9673810642700467
short,7,0.6519394766257417,0.3480605233742583
short,8,0.6347452048180531,0.3652547951819469
short,9,0.7551786633447093,0.2448213366552907
medium,0,0.39578934164035845,0.6042106583596416
medium,1,0.14768224325998927,0.8523177567400108
medium,2,0.277456647398844,0.722543352601156
medium,3,0.295609297957267,0.704390702042733
medium,4,0.023115528799775322,0.9768844712002247
medium,5,0.034026419377430034,0.96597358062257
medium,6,0.07953340402969249,0.9204665959703076
medium,7,0.07748328234561547,0.9225167176543845
medium,8,0.005305039787798415,0.9946949602122016
medium,9,0.11836734693877544,0.8816326530612245
long,0,0.3222891566265061,0.677710843373494
long,1,0.42569992821249103,0.574300071787509
long,2,0.4556113902847569,0.544388609715243
long,3,0.5057660626029654,0.4942339373970346
long,4,0.20839469808541972,0.7916053019145803
long,5,0.15828596414516832,0.8417140358548316
long,6,0.013275923932543947,0.986724076067456
long,7,0.39655172413793094,0.6034482758620691
long,8,0.6093749999999998,0.3906250000000002
long,9,0.7121710526315792,0.2878289473684208
