llm_model,base_1_text_image_wp,base_2_text_image_wp,base_3_image_wp,base_5_image_wp,base_7_text_image_wp,base_image_wp,base_text_image_wp,Δw_p:verbal_multimodal,Δw_p:numeric_multimodal,Δw_p:const_noise_image,Δw_p:incr_noise_image,Δw_p:long_multimodal,Cue score,Noise score,Context score,consistency_sum
GPT-5 Mini,0.0,0.017169119264935567,0.05952425245570981,0.0,0.0,0.0,0.0,0.0,0.017169119264935567,0.05952425245570981,0.0,0.0,2,2,1,5
meta-llama_llama-4-maverick,0.4349995200061823,0.6238295089369444,0.5514723787308903,0.43076497767916705,0.3793252989805021,0.3561183221856764,0.3121461252539494,0.12285339475223289,0.31168338368299503,0.19535405654521387,0.07464665549349064,0.06717917372655269,2,2,1,5
anthropic_claude-3.7-sonnet,0.11041904569467324,0.18645449740871362,0.10349211543117792,0.0,0.0,0.04371847459194377,0.04829543816184908,0.062123607532824164,0.13815905924686453,0.05977364083923415,-0.04371847459194377,-0.04829543816184908,2,0,-1,1
mistralai_mistral-small-3.2-24b-instruct,0.3053212240506695,0.38301774000376704,0.384978086484819,0.43577989356446206,0.201950128534697,0.17674290802454454,0.32332220851776944,-0.018000984467099912,0.0596955314859976,0.20823517846027448,0.2590369855399175,-0.12137207998307245,0,2,-1,1
openai_gpt-4o-2024-08-06,0.2676633021504084,0.3632932026407243,0.6552357023288259,0.5303153678671813,0.053830053562822854,0.5945186537062942,0.2127994754478646,0.054863826702543805,0.1504937271928597,0.06071704862253169,-0.06420328583911294,-0.15896942188504173,2,0,-1,1
google_gemini-2.5-flash-lite,0.922614560528946,0.8809983596526907,1.0,1.0,0.8704868740228415,1.0,0.8150392477880827,0.1075753127408633,0.06595911186460801,0.0,0.0,0.05544762623475885,0,-2,1,-1
qwen_qwen2.5-vl-32b-instruct,0.3000988361608831,0.5468943911584562,0.989626655231655,0.6921744820000075,0.21816067314352974,0.8343187411035381,0.37467810852075106,-0.07457927235986794,0.1722162826377051,0.15530791412811695,-0.14214425910353057,-0.15651743537722132,0,-2,-1,-3
gemma-3-4b-it,0.9112546194539203,1.0,0.9250841720354649,1.0,0.9253838521641794,1.0,0.8077594690514246,0.10349515040249568,0.1922405309485754,-0.07491582796453511,0.0,0.1176243831127548,-2,-2,-1,-5
microsoft_phi-4-multimodal-instruct,0.9070730870303123,0.6754302361120529,0.8564580826901815,0.9488552136888283,0.7588774177287672,0.8943287804453532,0.8201219841735115,0.08695110285680085,-0.14469174806145857,-0.03787069775517171,0.05452643324347506,-0.0612445664447443,-2,-2,-1,-5
