llm_model,model_pretty,ablation,ablation_pretty,modality,combo_model,prob,nrmse,w_img
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,EmpiricalLinear,1.0,1.1848798735808002,0.7786876663800321
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,Bayes(stimulus),5.891626686387664e-32,0.8058805237207181,0.6712852827942187
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,Bayes(range),2.0190323084260782e-40,0.7900449298379152,0.6076347331765032
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,Equal,4.686260033261208e-50,0.7792749001561009,0.5
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,EmpiricalLinear,0.9999999999995022,0.6704247437332426,0.35898940191185424
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,Equal,4.976980937450708e-13,0.770130372306506,0.5
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,Bayes(range),1.763218122046942e-16,0.8090121351100896,0.5486671743930646
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,Bayes(stimulus),4.4785511786474016e-27,0.8935169155262116,0.5506990450918064
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,EmpiricalLinear,0.8785669715632792,0.5188839214247594,0.6227901085356838
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,Equal,0.0847569866740593,0.49568313963875643,0.5
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,Bayes(range),0.0365914305016947,0.4918453222933282,0.6119730050425042
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,Bayes(stimulus),8.461126096678565e-05,0.46328416718006005,0.5906595750127421
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,EmpiricalLinear,0.9999999999999988,0.9492535991835258,0.03249746673416404
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Bayes(range),6.010136233905941e-16,0.7574386130664096,0.46376855254012667
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Bayes(stimulus),1.90276259934908e-16,0.772297827151678,0.3874748611479219
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Equal,1.368798795113714e-16,0.7498627691790988,0.5
openai_gpt-4.1-mini,GPT 4.1 mini,base_4,Short context,text_image,EmpiricalLinear,0.9999999992380229,0.695316947536475,0.558780006581813
openai_gpt-4.1-mini,GPT 4.1 mini,base_4,Short context,text_image,Bayes(stimulus),7.162141091219607e-10,0.5662277192012359,0.6472803380981971
openai_gpt-4.1-mini,GPT 4.1 mini,base_4,Short context,text_image,Equal,4.144102796422596e-11,0.6323653658889655,0.5
openai_gpt-4.1-mini,GPT 4.1 mini,base_4,Short context,text_image,Bayes(range),4.321813755221578e-12,0.5626988646771098,0.7440630994045158
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,EmpiricalLinear,1.0,1.2473510799263272,0.12129784727921417
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Bayes(range),1.1219129328458248e-17,1.0561247784789887,0.573933315550425
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Equal,4.722014045194457e-20,1.0117533929841742,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Bayes(stimulus),1.2128194368978818e-24,1.052210316641736,0.5930858751185304
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,EmpiricalLinear,0.9983275370672026,0.5598117097578369,0.5932003154066684
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,Equal,0.0016724369049743,0.6118578075756645,0.5
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,Bayes(stimulus),2.6024959906585604e-08,0.49359790514791024,0.6308852695972
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,Bayes(range),2.863137442026016e-12,0.37604068640967475,0.8203055311792994
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,EmpiricalLinear,0.9999999087021336,0.3279629063816025,0.44480848487539376
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,Bayes(range),8.787613598302963e-08,0.41551076762455486,0.4602369804179913
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,Bayes(stimulus),3.4042793101813223e-09,0.4382050618496955,0.5716629659974805
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,Equal,1.745137533460941e-11,0.4354029533605401,0.5
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,EmpiricalLinear,0.9749896060018058,1.1015630890082295,0.22871585740948028
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,Bayes(stimulus),0.0237856651270827,1.2710857571792311,0.3822087999452905
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,Equal,0.0010980012411353,1.2032553828177222,0.5
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,Bayes(range),0.000126727629976,1.2491282537651034,0.5467054981977876
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_3,Noise,text_image,EmpiricalLinear,0.9999999999999868,1.1212770866585047,0.27205548493328147
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_3,Noise,text_image,Bayes(stimulus),1.3197031529954111e-14,0.8095086525223202,0.571945905815534
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_3,Noise,text_image,Equal,4.133726389270303e-23,0.7297315422920314,0.5
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_3,Noise,text_image,Bayes(range),1.990128667634987e-26,0.683794009659414,0.3865032635338373
meta-llama_llama-4-maverick,Llama 4 Maverick,base_3,Noise,text_image,EmpiricalLinear,0.9999999991820512,0.6864007964746811,0.06603791967020142
meta-llama_llama-4-maverick,Llama 4 Maverick,base_3,Noise,text_image,Bayes(range),8.179488692430957e-10,0.6612841283971836,0.17672713737773718
meta-llama_llama-4-maverick,Llama 4 Maverick,base_3,Noise,text_image,Equal,5.3020232863712165e-39,0.8496138121288934,0.5
meta-llama_llama-4-maverick,Llama 4 Maverick,base_3,Noise,text_image,Bayes(stimulus),0.0,0.6738456600801028,0.06083793607576064
openai_gpt-4o-2024-08-06,GPT 4o,base_3,Noise,text_image,EmpiricalLinear,0.999999999570953,0.5263471296891163,0.2546991389399476
openai_gpt-4o-2024-08-06,GPT 4o,base_3,Noise,text_image,Bayes(stimulus),4.08234982608782e-10,0.36187526647729507,0.3478034713129338
openai_gpt-4o-2024-08-06,GPT 4o,base_3,Noise,text_image,Bayes(range),2.081203554570977e-11,0.38540481287954875,0.18993894295103134
openai_gpt-4o-2024-08-06,GPT 4o,base_3,Noise,text_image,Equal,3.577431403000385e-18,0.427719631917825,0.5
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_3,Noise,text_image,EmpiricalLinear,0.9999997421226048,0.9347325794427013,-0.12309447234272117
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_3,Noise,text_image,Bayes(range),1.33874842243957e-07,0.9793102804272665,0.4551844495710207
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_3,Noise,text_image,Equal,1.2400255316453625e-07,0.9698044688475711,0.5
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_3,Noise,text_image,Bayes(stimulus),2.6241178146523e-18,1.1280883427077775,0.5070526376606452
openai_gpt-4.1-mini,GPT 4.1 mini,base_3,Noise,text_image,EmpiricalLinear,0.9996936278918628,0.7025112406215059,0.27916494634384503
openai_gpt-4.1-mini,GPT 4.1 mini,base_3,Noise,text_image,Bayes(range),0.0003063495617593,0.6460204899668142,0.43457288827128004
openai_gpt-4.1-mini,GPT 4.1 mini,base_3,Noise,text_image,Equal,2.014720902130683e-08,0.6078971471245048,0.5
openai_gpt-4.1-mini,GPT 4.1 mini,base_3,Noise,text_image,Bayes(stimulus),2.399168949047695e-09,0.6807795449014387,0.2730888144000696
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_3,Noise,text_image,EmpiricalLinear,1.0,1.226258010498922,-0.39223755258116505
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_3,Noise,text_image,Equal,3.3092960387151285e-41,0.9676656497172256,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_3,Noise,text_image,Bayes(range),2.7978244788610134e-46,0.9668658003941782,0.331528437837383
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_3,Noise,text_image,Bayes(stimulus),1.6664916853209038e-55,1.0829132436614768,0.42778381469991444
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_3,Noise,text_image,EmpiricalLinear,0.9986117376533624,0.7411347313903653,0.4082487997279239
