model,mse,r_squared,aic,bic
Basic Single-Stage,0.002812883063616661,0.90439925014451,-172.19569629114025,-169.39330152781594
Basic Two-Stage,0.0032425630634706766,0.8897958239604384,-167.93248527407877,-165.13009051075446
Weber Single-Stage,0.002204933723421754,0.9250614716028223,-179.4981320714586,-176.69573730813428
Weber Two-Stage,0.0023566757326875707,0.9199042540639819,-177.5023701280286,-174.69997536470427
Linear Regression,0.0021427358595460934,0.9271753747731438,-180.3561572960564,-177.5537625327321
