"","TR_datasets[j]","Species","Subj_idx","Session","Block","Trial","Stim","Procedure","Duration_Set","Target_Duration","Response"
"1","dataset_TR_Hallez_2019.csv","Human",1,1,1,11,"Visual","TR","0.9;1;1.1;1.2;1.3",1.3,2.511677084
"2","dataset_TR_Hallez_2019.csv","Human",1,1,1,12,"Visual","TR","0.9;1;1.1;1.2;1.3",1,0.893814692
"3","dataset_TR_Hallez_2019.csv","Human",1,1,1,13,"Visual","TR","0.9;1;1.1;1.2;1.3",1.2,0.857421819
"4","dataset_TR_Hallez_2019.csv","Human",1,1,1,14,"Visual","TR","0.9;1;1.1;1.2;1.3",1.2,1.174532345
"5","dataset_TR_Hallez_2019.csv","Human",1,1,1,15,"Visual","TR","0.9;1;1.1;1.2;1.3",0.9,3.454294887
"6","dataset_TR_Hallez_2019.csv","Human",1,1,1,16,"Visual","TR","0.9;1;1.1;1.2;1.3",1.1,2.536201517
"7","dataset_TR_Hallez_2019.csv","Human",1,1,1,17,"Visual","TR","0.9;1;1.1;1.2;1.3",1.2,0.891750692
"8","dataset_TR_Hallez_2019.csv","Human",1,1,1,18,"Visual","TR","0.9;1;1.1;1.2;1.3",1.1,0.854423154
"9","dataset_TR_Hallez_2019.csv","Human",1,1,1,19,"Visual","TR","0.9;1;1.1;1.2;1.3",1.1,1.738089872
"10","dataset_TR_Hallez_2019.csv","Human",1,1,1,20,"Visual","TR","0.9;1;1.1;1.2;1.3",1,1.165171016
"11","dataset_TR_Hallez_2019.csv","Human",1,1,1,21,"Visual","TR","0.9;1;1.1;1.2;1.3",1.3,0.876963144
"12","dataset_TR_Hallez_2019.csv","Human",1,1,1,22,"Visual","TR","0.9;1;1.1;1.2;1.3",1,0.901230244
"13","dataset_TR_Hallez_2019.csv","Human",1,1,1,23,"Visual","TR","0.9;1;1.1;1.2;1.3",0.9,1.45424022
"14","dataset_TR_Hallez_2019.csv","Human",1,1,1,24,"Visual","TR","0.9;1;1.1;1.2;1.3",1.2,1.397331357
"15","dataset_TR_Hallez_2019.csv","Human",1,1,1,25,"Visual","TR","0.9;1;1.1;1.2;1.3",1.2,0.383018474
"16","dataset_TR_Hallez_2019.csv","Human",1,1,2,26,"Visual","TR","0.9;1;1.1;1.2;1.3",1.2,0.788338294
"17","dataset_TR_Hallez_2019.csv","Human",1,1,2,27,"Visual","TR","0.9;1;1.1;1.2;1.3",1,1.703666332
"18","dataset_TR_Hallez_2019.csv","Human",1,1,2,28,"Visual","TR","0.9;1;1.1;1.2;1.3",1.2,0.562073506
"19","dataset_TR_Hallez_2019.csv","Human",1,1,2,29,"Visual","TR","0.9;1;1.1;1.2;1.3",1.1,1.475484211
"20","dataset_TR_Hallez_2019.csv","Human",1,1,2,30,"Visual","TR","0.9;1;1.1;1.2;1.3",0.9,2.418218903
"21","dataset_TR_Hallez_2019.csv","Human",1,1,2,31,"Visual","TR","0.9;1;1.1;1.2;1.3",1,1.345114935
"22","dataset_TR_Hallez_2019.csv","Human",1,1,2,32,"Visual","TR","0.9;1;1.1;1.2;1.3",1,0.044115069
"23","dataset_TR_Hallez_2019.csv","Human",1,1,2,33,"Visual","TR","0.9;1;1.1;1.2;1.3",1.3,1.085824828
"24","dataset_TR_Hallez_2019.csv","Human",1,1,2,34,"Visual","TR","0.9;1;1.1;1.2;1.3",1.1,1.124551922
"25","dataset_TR_Hallez_2019.csv","Human",1,1,2,35,"Visual","TR","0.9;1;1.1;1.2;1.3",0.9,0.204133221
"26","dataset_TR_Hallez_2019.csv","Human",1,1,2,36,"Visual","TR","0.9;1;1.1;1.2;1.3",1.1,1.993765314
"27","dataset_TR_Hallez_2019.csv","Human",1,1,2,37,"Visual","TR","0.9;1;1.1;1.2;1.3",1.3,1.608317041
"28","dataset_TR_Hallez_2019.csv","Human",1,1,2,38,"Visual","TR","0.9;1;1.1;1.2;1.3",1.1,0.04391418
"29","dataset_TR_Hallez_2019.csv","Human",1,1,2,39,"Visual","TR","0.9;1;1.1;1.2;1.3",0.9,1.884789362
"30","dataset_TR_Hallez_2019.csv","Human",1,1,2,40,"Visual","TR","0.9;1;1.1;1.2;1.3",0.9,1.406455353
"31","dataset_TR_Hallez_2019.csv","Human",1,1,3,41,"Visual","TR","0.9;1;1.1;1.2;1.3",1.1,1.141467915
"32","dataset_TR_Hallez_2019.csv","Human",1,1,3,42,"Visual","TR","0.9;1;1.1;1.2;1.3",1.2,1.543250403
"33","dataset_TR_Hallez_2019.csv","Human",1,1,3,43,"Visual","TR","0.9;1;1.1;1.2;1.3",1.1,1.582947719
"34","dataset_TR_Hallez_2019.csv","Human",1,1,3,44,"Visual","TR","0.9;1;1.1;1.2;1.3",1.2,1.192960781
"35","dataset_TR_Hallez_2019.csv","Human",1,1,3,45,"Visual","TR","0.9;1;1.1;1.2;1.3",1.3,1.651559688
"36","dataset_TR_Hallez_2019.csv","Human",1,1,3,46,"Visual","TR","0.9;1;1.1;1.2;1.3",1.3,1.035107962
"37","dataset_TR_Hallez_2019.csv","Human",1,1,3,47,"Visual","TR","0.9;1;1.1;1.2;1.3",1.3,1.872665368
"38","dataset_TR_Hallez_2019.csv","Human",1,1,3,48,"Visual","TR","0.9;1;1.1;1.2;1.3",1,0.757718308
"39","dataset_TR_Hallez_2019.csv","Human",1,1,3,49,"Visual","TR","0.9;1;1.1;1.2;1.3",1.3,0.373642478
"40","dataset_TR_Hallez_2019.csv","Human",1,1,3,50,"Visual","TR","0.9;1;1.1;1.2;1.3",1.3,1.327107388
"41","dataset_TR_Hallez_2019.csv","Human",1,1,3,51,"Visual","TR","0.9;1;1.1;1.2;1.3",1,1.348052267
"42","dataset_TR_Hallez_2019.csv","Human",1,1,3,52,"Visual","TR","0.9;1;1.1;1.2;1.3",0.9,0.042565737
"43","dataset_TR_Hallez_2019.csv","Human",1,1,3,53,"Visual","TR","0.9;1;1.1;1.2;1.3",0.9,1.550293511
