model,mse,r_squared,aic,bic
Basic Single-Stage,0.006865525329948704,0.8763673053499531,-145.4329122525117,-142.63051748918738
Basic Two-Stage,0.006866631845048933,0.8763473794976785,-145.42807825321262,-142.6256834898883
Weber Single-Stage,0.010290227524798431,0.8146961089920824,-133.2939032980308,-130.4915085347065
Weber Two-Stage,0.010290934624183927,0.8146833757199419,-133.29184210049277,-130.48944733716846
Linear Regression,0.006760117062660017,0.8782654715494783,-145.8970146986975,-143.09461993537317
