range_category,stimulus_id,w_img_bayes,w_txt_bayes
short,0,0.898989898989899,0.101010101010101
short,1,0.16714443219404634,0.8328555678059537
short,2,0.3362974939369442,0.6637025060630558
short,3,0.5680489101541732,0.43195108984582675
short,4,0.7573529411764706,0.24264705882352944
short,5,0.9804578454790229,0.019542154520977073
short,6,0.9515180923191872,0.04848190768081284
short,7,0.9971923505474796,0.002807649452520433
short,8,0.8192307692307693,0.18076923076923068
short,9,0.4459589701225388,0.5540410298774612
medium,0,0.9937752878929349,0.0062247121070651
medium,1,0.28454172366621117,0.7154582763337889
medium,2,0.7046824292999534,0.2953175707000466
medium,3,0.6764199655765922,0.32358003442340777
medium,4,0.9495420215330227,0.050457978466977305
medium,5,0.41614518147684604,0.583854818523154
medium,6,0.42231693142192944,0.5776830685780705
medium,7,0.24626278520849731,0.7537372147915027
medium,8,0.8191489361702128,0.18085106382978722
medium,9,0.7199281867145423,0.2800718132854577
long,0,0.47095926412614975,0.5290407358738503
long,1,0.8195488721804518,0.1804511278195482
long,2,0.5923295454545457,0.40767045454545425
long,3,0.7170068027210885,0.2829931972789115
long,4,0.39141104294478535,0.6085889570552147
long,5,0.9861548143486468,0.013845185651353176
long,6,0.8006767376070115,0.19932326239298848
long,7,0.5490196078431374,0.4509803921568626
long,8,0.10763897871019486,0.8923610212898051
long,9,0.9934043632673769,0.006595636732623089
