model,mse,r_squared,aic,bic
Basic Single-Stage,0.007354106967531749,0.7516369687914726,-143.3708114456707,-140.5684166823464
Basic Two-Stage,0.009805643641379324,0.6688436286722971,-134.74085601204808,-131.93846124872377
Weber Single-Stage,0.00906583863808754,0.6938283363916695,-137.09394881276148,-134.29155404943717
Weber Two-Stage,0.011727633483115495,0.6039341535785718,-129.37166362118714,-126.56926885786282
Linear Regression,0.008842290362921444,0.7013780127135962,-137.8428877575949,-135.04049299427058
