exp_id,llm_model,range_category,regression_angle,scalar_variability,short_vs_medium_t,medium_vs_long_t,response_autocorr,stimulus_autocorr
base_text_image,google_gemini-2.5-flash-lite,short,31.916272136133735,0.0587450002317809,,,-0.0219664189274064,0.2471880926783111
base_text_image,google_gemini-2.5-flash-lite,medium,,0.1056300006961656,,,0.2207458274427787,0.2605542538179349
base_text_image,google_gemini-2.5-flash-lite,long,,0.053222127476438,,,0.1878517374714878,0.2389187464697126
base_text_image,meta-llama_llama-4-maverick,short,,,,,0.1531480427661336,0.3641941401997726
base_text_image,meta-llama_llama-4-maverick,medium,,,,,0.0530216000895985,0.3326370716374955
base_text_image,meta-llama_llama-4-maverick,long,,,,,0.5271734805897891,0.3287353719850929
base_text_image,openai_gpt-4o-2024-08-06,short,38.509364064566945,0.167917046673053,,,0.1385757198513498,0.2471880926783111
base_text_image,openai_gpt-4o-2024-08-06,medium,41.67534485475694,0.0958074663680776,,,0.0410159944123798,0.217956842254054
base_text_image,openai_gpt-4o-2024-08-06,long,32.176694938913016,0.0532938856204327,,,0.1967385453713679,0.2190649014647032
base_text_image,qwen_qwen2.5-vl-32b-instruct,short,,,,,0.2943828019127681,0.3641941401997726
base_text_image,qwen_qwen2.5-vl-32b-instruct,medium,,,,,0.1054823674108095,0.3326370716374955
base_text_image,qwen_qwen2.5-vl-32b-instruct,long,,,,,0.1918304251804117,0.3287353719850929
base_text_image,GPT-5 Mini,short,44.897399586026346,0.0340440065670134,,,0.2518581278102332,0.2471880926783111
base_text_image,GPT-5 Mini,medium,45.15195579118962,0.0111611162345913,,,0.2266198355399378,0.217956842254054
base_text_image,GPT-5 Mini,long,46.1506568096333,0.0141223089200564,,,0.2037420238155516,0.2190649014647032
base_text_image,microsoft_phi-4-multimodal-instruct,short,44.634648524802344,0.2485552856256842,,,0.5861080601531095,0.2471880926783111
base_text_image,microsoft_phi-4-multimodal-instruct,medium,55.65289368099952,0.1583656360158285,,,0.4350463342697624,0.217956842254054
base_text_image,microsoft_phi-4-multimodal-instruct,long,-4.617414521778911,0.052418588862877,,,-0.0249654657073159,0.2190649014647032
base_text_image,mistralai_mistral-small-3.2-24b-instruct,short,43.54023109810025,0.1977611701247651,,,0.2762789005779844,0.2471880926783111
base_text_image,mistralai_mistral-small-3.2-24b-instruct,medium,38.29892279883657,0.1323710937629537,,,0.0566023781459008,0.217956842254054
base_text_image,mistralai_mistral-small-3.2-24b-instruct,long,37.333761817065245,0.1692295861056456,,,0.3388637622940245,0.2190649014647032
base_text_image,anthropic_claude-3.7-sonnet,short,43.16721926467879,0.0613359634912475,,,0.2866720816124742,0.2471880926783111
base_text_image,anthropic_claude-3.7-sonnet,medium,36.997722937322585,0.04757695046244,,,-0.0048488650602528,0.217956842254054
base_text_image,anthropic_claude-3.7-sonnet,long,38.5073271528597,0.0395969799370439,,,0.4134681068557452,0.2190649014647032
base_text_image,gemma-3-4b-it,short,41.30803397385618,0.1305071799281982,,,0.3544596693714944,0.2471880926783111
base_text_image,gemma-3-4b-it,medium,0.0,0.0,,,,0.217956842254054
base_text_image,gemma-3-4b-it,long,0.374172753669367,0.0514791613250075,,,-0.2815659115045053,0.2190649014647032
base_2_text,google_gemini-2.5-flash-lite,short,40.860667199940494,0.1134357269761671,,,0.4343321070109659,0.2471880926783111
base_2_text,google_gemini-2.5-flash-lite,medium,32.249097142755154,0.1203012974508407,,,0.1188987626750763,0.217956842254054
base_2_text,google_gemini-2.5-flash-lite,long,23.244706296038206,0.0954715128620052,,,0.1351001171601463,0.2190649014647032
base_2_text,meta-llama_llama-4-maverick,short,,,,,-0.2242503083154286,0.2320791548509894
base_2_text,meta-llama_llama-4-maverick,medium,,,,,-0.1575902756670336,0.3243041026491637
base_2_text,meta-llama_llama-4-maverick,long,,,,,0.0671738248681822,0.1996250238758228
base_2_text,openai_gpt-4o-2024-08-06,short,29.058155710173423,0.2258587902634521,,,0.0869608774753236,0.2471880926783111
base_2_text,openai_gpt-4o-2024-08-06,medium,35.856446901403075,0.1281348190106934,,,0.2396324220033132,0.217956842254054
base_2_text,openai_gpt-4o-2024-08-06,long,28.64172937824254,0.1430022274916877,,,-0.022303184952467,0.2190649014647032
base_2_text,qwen_qwen2.5-vl-32b-instruct,short,,,,,0.283674311614309,0.3386056713618255
base_2_text,qwen_qwen2.5-vl-32b-instruct,medium,,0.1069784165074705,,,0.1086037602430945,0.2605542538179349
base_2_text,qwen_qwen2.5-vl-32b-instruct,long,,0.0619161649315772,,,0.143736222306221,0.2597594351180435
base_2_text,GPT-5 Mini,short,45.18296773935372,0.0264248980081413,,,0.2367275732729541,0.2471880926783111
base_2_text,GPT-5 Mini,medium,44.9998704815238,0.0110454277459514,,,0.2180188607203891,0.217956842254054
base_2_text,GPT-5 Mini,long,45.05131609432295,0.0098670558659111,,,0.2132033009986272,0.2190649014647032
base_2_text,microsoft_phi-4-multimodal-instruct,short,44.09235163182864,0.0884093288951598,,,0.1055871641844724,0.2471880926783111
base_2_text,microsoft_phi-4-multimodal-instruct,medium,47.25151405908792,0.11583948254708,,,0.0616206122971766,0.217956842254054
base_2_text,microsoft_phi-4-multimodal-instruct,long,29.298174475967524,0.0709769738978518,,,-0.2011129909965356,0.2190649014647032
base_2_text,mistralai_mistral-small-3.2-24b-instruct,short,31.247508109923032,0.2298707454660232,,,0.6084234685380341,0.2471880926783111
base_2_text,mistralai_mistral-small-3.2-24b-instruct,medium,15.60813541434731,0.1703103489739571,,,0.2223371058716706,0.217956842254054
base_2_text,mistralai_mistral-small-3.2-24b-instruct,long,15.096671746279684,0.0911752863160873,,,-0.1353589323258308,0.2190649014647032
base_2_text,anthropic_claude-3.7-sonnet,short,40.93704987671764,0.0937877927335395,,,0.0595976414582793,0.2471880926783111
base_2_text,anthropic_claude-3.7-sonnet,medium,36.166166357184665,0.067318282550426,,,0.3223269626107113,0.217956842254054
base_2_text,anthropic_claude-3.7-sonnet,long,38.728247132582815,0.0339785560738681,,,0.108250221573825,0.2190649014647032
base_2_text,gemma-3-4b-it,short,53.49104629166735,0.1012626007199936,,,0.3015072051369507,0.2471880926783111
base_2_text,gemma-3-4b-it,medium,40.78468792287429,0.0652818681458233,,,0.1072131361455187,0.217956842254054
base_2_text,gemma-3-4b-it,long,19.347190879634606,0.0748285659035332,,,0.4617470797480532,0.2190649014647032
base_4_image,google_gemini-2.5-flash-lite,short,,0.2156681051704411,,,0.1171397097899337,0.2146411122798573
base_4_image,google_gemini-2.5-flash-lite,medium,,0.1597980656366889,,,0.086602862740073,0.1323178303596944
base_4_image,google_gemini-2.5-flash-lite,long,,0.0914796883170169,,,-0.0323865179107597,0.2083599379696716
base_4_image,meta-llama_llama-4-maverick,short,,0.1408806672557244,,,0.0684935215236643,0.2516731045503834
base_4_image,meta-llama_llama-4-maverick,medium,,0.0566654939129756,,,0.1036206005509335,0.2092788594617347
base_4_image,meta-llama_llama-4-maverick,long,,0.1415912603441004,,,0.2813688587725499,0.164419952224712
base_4_image,openai_gpt-4o-2024-08-06,short,42.769077145573846,0.1531097704200034,,,0.2075217132972299,0.2471880926783111
base_4_image,openai_gpt-4o-2024-08-06,medium,41.0840004510407,0.1106608325865481,,,-0.0144187670632665,0.217956842254054
base_4_image,openai_gpt-4o-2024-08-06,long,39.97290930776411,0.0532535154299977,,,0.1109931790411585,0.2190649014647032
base_4_image,qwen_qwen2.5-vl-32b-instruct,short,,0.1008180214864822,,,0.1754455240800134,0.1589172041308907
base_4_image,qwen_qwen2.5-vl-32b-instruct,medium,,0.1509168603470397,,,-0.0685394579683693,0.1108750522071849
base_4_image,qwen_qwen2.5-vl-32b-instruct,long,,0.0816333466193341,,,0.5088012964924107,0.0653211603892732
base_4_image,GPT-5 Mini,short,46.18326151381251,0.0615110004938309,,,0.1251756989004987,0.2471880926783111
base_4_image,GPT-5 Mini,medium,40.769527449255875,0.0510339226042985,,,0.0918209477756748,0.217956842254054
base_4_image,GPT-5 Mini,long,41.905279992235016,0.0281976043990599,,,0.2075043887053879,0.2190649014647032
base_4_image,microsoft_phi-4-multimodal-instruct,short,31.2036306170976,0.4402768455419589,,,-0.4258352687109648,0.2471880926783111
base_4_image,microsoft_phi-4-multimodal-instruct,medium,34.81940695355607,0.2828158818764031,,,-0.171244893013899,0.217956842254054
base_4_image,microsoft_phi-4-multimodal-instruct,long,5.280990279736047,0.3098786546808193,,,-0.3276549532749031,0.2190649014647032
base_4_image,mistralai_mistral-small-3.2-24b-instruct,short,43.67913337776779,0.1887721293848321,,,0.1935127627761403,0.2471880926783111
base_4_image,mistralai_mistral-small-3.2-24b-instruct,medium,40.16396074282617,0.1530218881399163,,,-0.1352345913190011,0.217956842254054
base_4_image,mistralai_mistral-small-3.2-24b-instruct,long,39.033088866396184,0.2003714609066218,,,0.2504060353613387,0.2190649014647032
base_4_image,anthropic_claude-3.7-sonnet,short,43.97549760284524,0.1300163511050887,,,0.195048573753376,0.2471880926783111
base_4_image,anthropic_claude-3.7-sonnet,medium,39.681239223035845,0.0754501521739508,,,0.1844423495783814,0.217956842254054
base_4_image,anthropic_claude-3.7-sonnet,long,35.71569909881779,0.0725218251816976,,,0.3240638263273619,0.2190649014647032
base_4_image,gemma-3-4b-it,short,-3.567160522647032,0.2427625278565376,,,-0.4245662559171741,0.2471880926783111
base_4_image,gemma-3-4b-it,medium,-4.075172154724442,0.1887130957606079,,,-0.4408091986991597,0.217956842254054
base_4_image,gemma-3-4b-it,long,13.042070951471867,0.2012006034459822,,,-0.4083379019486278,0.2190649014647032
base_6_image,google_gemini-2.5-flash-lite,short,39.266851783521325,0.1761605641560778,,,0.1243844419046188,0.2746577241384829
base_6_image,google_gemini-2.5-flash-lite,medium,37.89888041048111,0.0897717792485627,,,0.2047329860883036,0.2440987217079077
base_6_image,google_gemini-2.5-flash-lite,long,30.770397361642907,0.0460748872279546,,,0.1503111646636641,0.242313261754766
base_6_image,meta-llama_llama-4-maverick,short,30.21142013048384,0.1062666457577386,,,0.2886470370709491,0.2684872575425022
base_6_image,meta-llama_llama-4-maverick,medium,33.668020403780005,0.074775241512833,,,0.1065322688900931,0.2605542538179349
base_6_image,meta-llama_llama-4-maverick,long,20.33868502307212,0.0409759469090165,,,0.1985834770817866,0.2597594351180435
base_6_image,openai_gpt-4o-2024-08-06,short,39.136535282409376,0.1287315472317082,,,0.2103530623765092,0.2471880926783111
base_6_image,openai_gpt-4o-2024-08-06,medium,36.253178096960866,0.0655028642533358,,,0.0205519666995724,0.217956842254054
base_6_image,openai_gpt-4o-2024-08-06,long,37.3725324808244,0.0293956585118403,,,0.0946213590692489,0.2190649014647032
base_6_image,qwen_qwen2.5-vl-32b-instruct,short,33.139409065314524,0.1423018708675492,,,0.2993895122943363,0.3141519762140854
base_6_image,qwen_qwen2.5-vl-32b-instruct,medium,38.71678733489504,0.1277890429014814,,,0.1129022475017122,0.3326370716374955
base_6_image,qwen_qwen2.5-vl-32b-instruct,long,31.899915288275903,0.0667018958919886,,,0.5302630089739323,0.2597594351180435
base_6_image,GPT-5 Mini,short,48.04686875250665,0.0614836935530131,,,0.0018939924760922,0.2471880926783111
base_6_image,GPT-5 Mini,medium,39.58796629510131,0.0567608729514637,,,0.0621184620673651,0.217956842254054
base_6_image,GPT-5 Mini,long,41.340102924393285,0.028619774693153,,,0.1580004926892032,0.2190649014647032
base_6_image,microsoft_phi-4-multimodal-instruct,short,41.13245720330963,0.2064122168677049,,,-0.105545950781523,0.2471880926783111
base_6_image,microsoft_phi-4-multimodal-instruct,medium,17.407700793903235,0.1298194041333174,,,-0.4069346001667485,0.217956842254054
base_6_image,microsoft_phi-4-multimodal-instruct,long,24.32115880966498,0.0330066434282643,,,0.1478420454252341,0.2190649014647032
base_6_image,mistralai_mistral-small-3.2-24b-instruct,short,23.456147441507472,0.2604236026898196,,,-0.0289947668883011,0.2471880926783111
base_6_image,mistralai_mistral-small-3.2-24b-instruct,medium,24.161596974614717,0.0926023679103591,,,0.1065995823852423,0.217956842254054
base_6_image,mistralai_mistral-small-3.2-24b-instruct,long,19.762031451170618,0.0421487475437906,,,0.193011741915528,0.2190649014647032
base_6_image,anthropic_claude-3.7-sonnet,short,33.550078519877594,0.098474502981053,,,0.432943388284037,0.2471880926783111
base_6_image,anthropic_claude-3.7-sonnet,medium,20.82779003908614,0.06083743933371,,,0.2782680884317771,0.217956842254054
base_6_image,anthropic_claude-3.7-sonnet,long,20.8371137453569,0.0263394701976467,,,0.2633717889020882,0.2190649014647032
base_6_image,gemma-3-4b-it,short,34.51654341455849,0.1548481558602407,,,0.1999261133705501,0.2471880926783111
base_6_image,gemma-3-4b-it,medium,11.997336487789202,0.2352821218710257,,,-0.2539905859370797,0.217956842254054
base_6_image,gemma-3-4b-it,long,-16.706734966836915,0.1175908128905879,,,0.4884863303733467,0.2190649014647032
base_2_text_image,google_gemini-2.5-flash-lite,short,,0.1196901797701091,,,0.0018345580767587,0.2063873292325873
base_2_text_image,google_gemini-2.5-flash-lite,medium,,0.0924214935412036,,,0.288686307746086,0.2605542538179349
base_2_text_image,google_gemini-2.5-flash-lite,long,35.73270526396073,0.0608873345130118,,,0.1745582102799071,0.2190649014647032
base_2_text_image,meta-llama_llama-4-maverick,short,,,,,0.1078915395010053,0.3641941401997726
base_2_text_image,meta-llama_llama-4-maverick,medium,,,,,0.0624195042592085,0.3074503738216171
base_2_text_image,meta-llama_llama-4-maverick,long,,,,,0.4269628259650765,0.3287353719850929
base_2_text_image,openai_gpt-4o-2024-08-06,short,37.38847858335549,0.1774973927549356,,,0.1231314345565671,0.2471880926783111
base_2_text_image,openai_gpt-4o-2024-08-06,medium,36.63196075042117,0.0952666509069432,,,0.0847033996300932,0.217956842254054
base_2_text_image,openai_gpt-4o-2024-08-06,long,31.34990489427339,0.0549187550164331,,,0.1864310851722274,0.2190649014647032
base_2_text_image,qwen_qwen2.5-vl-32b-instruct,short,,,,,0.3335474363753143,0.3641941401997726
