range_category,regression_angle,scalar_variability,short_vs_medium_t,medium_vs_long_t,response_autocorr,stimulus_autocorr
short,39.701789351649595,0.13816455798750005,,,0.41516355694737267,0.23521755130669833
medium,38.48282623767837,0.10596918306265235,,-4.8,0.3882647617225919,0.23520721737985426
long,43.078445875578865,0.05399620325166581,,,0.4211385051822833,0.23521755130669839
