model,mse,r_squared,aic,bic
Basic Single-Stage,0.007561664996057882,0.6817835826546417,-142.535949146079,-139.73355438275468
Basic Two-Stage,0.007515618730442458,0.6837213407653107,-142.7191663713987,-139.91677160807438
Weber Single-Stage,0.004552815156438925,0.8084045605467931,-157.75369704319866,-154.95130227987434
Weber Two-Stage,0.004550281704179067,0.8085111754394216,-157.7703917738359,-154.9679970105116
Linear Regression,0.003347775517344108,0.8591160634911588,-166.97481551520724,-164.17242075188292
