exp_id,llm_model,range_category,regression_angle,scalar_variability,short_vs_medium_t,medium_vs_long_t,response_autocorr,stimulus_autocorr
base_text_image,google_gemini-2.5-flash-lite,short,32.212626610543495,0.1475669632787774,,,0.2912250620646824,0.2352175513066983
base_text_image,google_gemini-2.5-flash-lite,medium,31.36648988933907,0.1182144897257929,,0.1818181818181816,0.7510778358582096,0.2352072173798542
base_text_image,google_gemini-2.5-flash-lite,long,35.80238326448851,0.0917109472033146,,,0.5774215641420408,0.2352175513066983
base_text_image,meta-llama_llama-4-maverick,short,,0.0741988283254704,,,0.2886223409202673,0.2985338633218581
base_text_image,meta-llama_llama-4-maverick,medium,,0.1251554065612314,,-1.340425531914894,0.4966269548185382,0.2553167230274631
base_text_image,meta-llama_llama-4-maverick,long,43.55412993207808,0.0664496643257115,,,0.3010468527706394,0.2352175513066983
base_text_image,openai_gpt-4o-2024-08-06,short,41.26909451265439,0.2792796353625306,,,0.4029328405517847,0.2352175513066983
base_text_image,openai_gpt-4o-2024-08-06,medium,52.27788992581244,0.1161023733352305,,-29.000000000000774,0.2759937157053262,0.2352072173798542
base_text_image,openai_gpt-4o-2024-08-06,long,43.96943265378793,0.0540865755029589,,,0.1064522016910801,0.2352175513066983
base_text_image,qwen_qwen2.5-vl-32b-instruct,short,34.524691284335965,0.2492294708200083,,,0.4108862494295415,0.2352175513066983
base_text_image,qwen_qwen2.5-vl-32b-instruct,medium,51.86626311735426,0.1010742018208462,,0.0,0.2803343145388979,0.2352072173798542
base_text_image,qwen_qwen2.5-vl-32b-instruct,long,51.969908230157166,0.1101835396730216,,,0.2788562152315082,0.2352175513066983
base_text_image,GPT-5 Mini,short,54.45413952594957,0.0957929496204073,,,0.3384093143624042,0.2352175513066983
base_text_image,GPT-5 Mini,medium,50.46595206595288,0.0906983298928699,,-0.2029124344160664,0.1547215111191644,0.2352072173798542
base_text_image,GPT-5 Mini,long,50.09523173768157,0.0397048897754036,,,0.1693538035882558,0.2352175513066983
base_text_image,microsoft_phi-4-multimodal-instruct,short,49.366159631963605,0.1147023016308475,,,0.0004039137370077,0.2352175513066983
base_text_image,microsoft_phi-4-multimodal-instruct,medium,43.19405781795358,0.228546560987372,,-1.076923076923077,-0.1897976320785916,0.2352072173798542
base_text_image,microsoft_phi-4-multimodal-instruct,long,45.79764547634642,0.1117360698549585,,,-0.3735643891112523,0.2352175513066983
base_text_image,mistralai_mistral-small-3.2-24b-instruct,short,33.47623041324612,0.1670006316614963,,,0.0554861832558896,0.2352175513066983
base_text_image,mistralai_mistral-small-3.2-24b-instruct,medium,50.997564668772064,0.1259559215464866,,0.8202247191011233,0.0510495811823288,0.2352072173798542
base_text_image,mistralai_mistral-small-3.2-24b-instruct,long,56.7912563284894,0.1050332527441159,,,0.4783833091953543,0.2352175513066983
base_text_image,anthropic_claude-3.7-sonnet,short,50.67180982760701,0.1257149956138875,,,0.2611855942464703,0.2352175513066983
base_text_image,anthropic_claude-3.7-sonnet,medium,48.618213459723904,0.0482309861404046,,-1.2539682539682544,0.2712063845269024,0.2352072173798542
base_text_image,anthropic_claude-3.7-sonnet,long,47.67088734896588,0.0271517138698715,,,0.1572490189705445,0.2352175513066983
base_text_image,gemma-3-4b-it,short,4.338266587865883,0.2392893176320203,,,-0.6730091663574466,0.2352175513066983
base_text_image,gemma-3-4b-it,medium,13.90124984264247,0.1634257088729676,,-0.7961762635189095,-0.1784651073077063,0.2352072173798542
base_text_image,gemma-3-4b-it,long,30.545026946896535,0.2083225537456289,,,-0.3274476565578193,0.2352175513066983
base_2_text,google_gemini-2.5-flash-lite,short,40.201320164105454,0.1178882273043468,,,0.3778571423238409,0.2352175513066983
base_2_text,google_gemini-2.5-flash-lite,medium,41.051053489353144,0.0553942764015434,,-18.750000000000348,0.4610346657729661,0.2352072173798542
base_2_text,google_gemini-2.5-flash-lite,long,39.316635299201806,0.0477637150803075,,,0.2527480016248756,0.2352175513066983
base_2_text,meta-llama_llama-4-maverick,short,,,,,0.2193448032736313,0.3217314873085427
base_2_text,meta-llama_llama-4-maverick,medium,,,,0.9186991869918698,0.4545609420024921,0.3217228256357871
base_2_text,meta-llama_llama-4-maverick,long,,,,,0.3935298251950282,0.3217314873085427
base_2_text,openai_gpt-4o-2024-08-06,short,24.741804064784112,0.1248614893458113,,,0.6356542693980687,0.2352175513066983
base_2_text,openai_gpt-4o-2024-08-06,medium,31.046763350291485,0.0763033852219698,,2.0000000000000013,0.3486883550149846,0.2352072173798542
base_2_text,openai_gpt-4o-2024-08-06,long,23.63294837464394,0.0593040180745605,,,0.2463686999075319,0.2352175513066983
base_2_text,qwen_qwen2.5-vl-32b-instruct,short,21.738533804856935,0.1064115340492542,,,0.3249887776520134,0.2352175513066983
base_2_text,qwen_qwen2.5-vl-32b-instruct,medium,35.755797703879004,0.0620329548384963,,-0.2095238095238093,0.3929644125741758,0.2352072173798542
base_2_text,qwen_qwen2.5-vl-32b-instruct,long,28.50204083914628,0.0664529941270439,,,0.3670801708639855,0.2352175513066983
base_2_text,GPT-5 Mini,short,44.33783748097371,0.0449447155719817,,,0.2060700991588414,0.2352175513066983
base_2_text,GPT-5 Mini,medium,44.731211672705655,0.0244478735712057,,-0.8007118865856299,0.2842652089900999,0.2352072173798542
base_2_text,GPT-5 Mini,long,45.3663972966841,0.0128823600815027,,,0.2265002123134067,0.2352175513066983
base_2_text,microsoft_phi-4-multimodal-instruct,short,30.75824074470707,0.1265387309587302,,,0.1126971732869154,0.2352175513066983
base_2_text,microsoft_phi-4-multimodal-instruct,medium,-1.5446012488485794,0.1063612776295321,,7.285714285714279,-0.648510727655268,0.2352072173798542
base_2_text,microsoft_phi-4-multimodal-instruct,long,20.84633461025725,0.0800536395112124,,,0.1294825809300865,0.2352175513066983
base_2_text,mistralai_mistral-small-3.2-24b-instruct,short,32.424233968515644,0.1839688660356024,,,0.2285674871328069,0.2352175513066983
base_2_text,mistralai_mistral-small-3.2-24b-instruct,medium,45.38788477673715,0.091967462980017,,0.4117647058823523,0.3016285107729787,0.2352072173798542
base_2_text,mistralai_mistral-small-3.2-24b-instruct,long,42.1713152207452,0.105442141510895,,,0.4181758668859403,0.2352175513066983
base_2_text,anthropic_claude-3.7-sonnet,short,37.910286386633985,0.080234510083394,,,0.119526254215381,0.2352175513066983
base_2_text,anthropic_claude-3.7-sonnet,medium,42.65866637953718,0.0306518830553616,,0.1428571428571428,0.386608966852405,0.2352072173798542
base_2_text,anthropic_claude-3.7-sonnet,long,39.09720634229974,0.018045642946281,,,0.2821052202272924,0.2352175513066983
base_2_text,gemma-3-4b-it,short,13.512511652378556,0.2132701010514605,,,-0.6380685397216636,0.2352175513066983
base_2_text,gemma-3-4b-it,medium,3.927040058737064,0.1302253940459363,,0.850467289719626,-0.2937234684589174,0.2352072173798542
base_2_text,gemma-3-4b-it,long,23.289384767200776,0.1074922916720445,,,-0.1163246647843446,0.2352175513066983
base_4_image,google_gemini-2.5-flash-lite,short,8.457967198790726,0.3563822377300201,,,0.3777444049191303,0.2352175513066983
base_4_image,google_gemini-2.5-flash-lite,medium,87.31026158133409,1.3145894317053377,,0.0102770599194662,0.4787041100383092,0.2352072173798542
base_4_image,google_gemini-2.5-flash-lite,long,85.17527209469952,0.9253376174020674,,,0.2936545892073243,0.2352175513066983
base_4_image,meta-llama_llama-4-maverick,short,50.25519196116883,0.1975246571936974,,,0.2691004498604837,0.2352175513066983
base_4_image,meta-llama_llama-4-maverick,medium,13.58107702188736,0.043491092544249,,-1.0,-0.0530043409419694,0.2352072173798542
base_4_image,meta-llama_llama-4-maverick,long,33.03369994393986,0.0641846087235315,,,-0.3116137776976261,0.2352175513066983
base_4_image,openai_gpt-4o-2024-08-06,short,33.215052938294924,0.330836479906446,,,-0.0639714280940588,0.2352175513066983
base_4_image,openai_gpt-4o-2024-08-06,medium,48.47068558271268,0.1131507438346536,,5.545454545454568,0.2725311090071564,0.2352072173798542
base_4_image,openai_gpt-4o-2024-08-06,long,46.29016257108908,0.0934568712308012,,,0.4057272148713814,0.2352175513066983
base_4_image,qwen_qwen2.5-vl-32b-instruct,short,35.427728667993826,0.4648602434247268,,,0.1439695262108809,0.2352175513066983
base_4_image,qwen_qwen2.5-vl-32b-instruct,medium,61.24481137585903,0.1996046984599322,,-2.2978723404255295,0.3006929459496902,0.2352072173798542
base_4_image,qwen_qwen2.5-vl-32b-instruct,long,50.27050228198637,0.1376765515253327,,,0.2829303711776926,0.2352175513066983
base_4_image,GPT-5 Mini,short,55.46054937790519,0.1058114499526003,,,0.3095776689348877,0.2352175513066983
base_4_image,GPT-5 Mini,medium,37.90336307701113,0.0548616355151702,,-1.5454545454545454,-0.0329421332935881,0.2352072173798542
