model,mse,r_squared,aic,bic
Basic Single-Stage,0.006270620097772455,0.7791363685729644,-148.15161706743527,-145.34922230411095
Basic Two-Stage,0.007576849771193758,0.7331283781906313,-142.4757737274996,-139.67337896417527
Weber Single-Stage,0.006102337567791519,0.7850636118276662,-148.96758545509155,-146.16519069176724
Weber Two-Stage,0.006635571871018641,0.7662820459257478,-146.4547919989899,-143.65239723566557
Linear Regression,0.0046544257454218625,0.8360619274788248,-157.0916573787183,-154.289262615394
