llm_model,model_pretty,ablation,ablation_pretty,modality,combo_model,prob,nrmse,w_img
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,EmpiricalLinear,0.9792493628792164,0.3851413478919953,0.5541257752566556
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,Equal,0.0203442508816472,0.3823827135347119,0.5
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,Bayes(range),0.0004063750065412,0.4081729911276001,0.4893940193517186
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,Bayes(stimulus),1.1232595292839644e-08,0.4114051036031606,0.6043759585999188
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,EmpiricalLinear,0.9999999999999982,0.44959580014874384,0.8157627013179691
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,Bayes(stimulus),1.846951432330659e-15,0.573734742458146,0.6577961860517522
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,Bayes(range),6.231608767095949e-18,0.615270744329032,0.5683250304790726
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,Equal,2.0848334914723227e-20,0.6185699120143366,0.5
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,EmpiricalLinear,0.9976719992250874,0.7437780232596577,0.7320979333301015
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,Equal,0.0023278705614486,0.6268841725769136,0.5
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,Bayes(stimulus),1.3021134208271618e-07,0.5359131518401146,0.6177820208625707
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,Bayes(range),2.121893301023383e-12,0.43740126457438655,0.7573080646193681
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Bayes(stimulus),0.999999999976841,0.5214229297863127,0.6016277850966489
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,EmpiricalLinear,2.3159127121146305e-11,0.7385035639217025,0.07061887340109733
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Bayes(range),3.562691835180823e-17,0.7655088914534302,0.39325591855959274
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Equal,3.278373018984052e-75,1.9912948488847875,0.5
openai_gpt-4.1-mini,GPT 4.1 mini,base_4,Short context,text_image,EmpiricalLinear,0.9999999606324704,0.36786939462654117,0.7128492070890498
openai_gpt-4.1-mini,GPT 4.1 mini,base_4,Short context,text_image,Bayes(range),3.242011275584554e-08,0.42542570375654587,0.5784263153028776
openai_gpt-4.1-mini,GPT 4.1 mini,base_4,Short context,text_image,Bayes(stimulus),6.946353049884539e-09,0.43316655841308943,0.7179302026158777
openai_gpt-4.1-mini,GPT 4.1 mini,base_4,Short context,text_image,Equal,1.0639937597400573e-12,0.4507327799770134,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,EmpiricalLinear,0.9999999999999328,2.4604066681371557,1.5307002399345706
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Equal,6.715303945626474e-14,1.2663677608652375,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Bayes(stimulus),4.595077144416624e-37,1.6966923368055067,0.20439413920434238
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Bayes(range),4.01705512703217e-38,0.8256180311952039,0.09394195650036134
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,EmpiricalLinear,0.9999982789978524,0.675800155024955,0.8120074245397727
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,Equal,1.7209284500311433e-06,0.8317476516165495,0.5
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,Bayes(range),7.369735206743629e-11,0.9758462227948841,0.36730515771662753
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,Bayes(stimulus),6.6961696217365e-30,1.37676585224869,0.20635856924487936
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,EmpiricalLinear,0.4373907986904804,0.3192394750542294,0.488332513261357
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,Equal,0.4294820145582765,0.29266704629203927,0.5
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,Bayes(range),0.1331271818852158,0.2901972104035023,0.5004879910388252
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,Bayes(stimulus),4.866027181428636e-09,0.2544177129558461,0.6004143520134306
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,EmpiricalLinear,1.0,3.2246303472191955,-1.4711880104595538
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,Equal,4.234743809880525e-41,1.745839696056369,0.5
