model,mse,r_squared,aic,bic
Basic Single-Stage,0.0050816144615298585,0.8103870169731432,-154.45788476003517,-151.65548999671086
Basic Two-Stage,0.00546911388214165,0.7959280450027941,-152.25367530081934,-149.45128053749502
Weber Single-Stage,0.005413998616218587,0.7979845902328792,-152.5574796222555,-149.75508485893118
Weber Two-Stage,0.005472515755226367,0.7958011091031199,-152.23502404904812,-149.4326292857238
Linear Regression,0.002576323541175149,0.903868269507115,-174.83011416945476,-172.02771940613044
