llm_model,model_pretty,ablation,ablation_pretty,modality,nrmse
GPT-5 Mini,GPT 5 Mini,base,Base,image,0.46538881910768987
GPT-5 Mini,GPT 5 Mini,base,Base,text,0.1481594836377623
GPT-5 Mini,GPT 5 Mini,base,Base,text_image,0.20222116602159168
GPT-5 Mini,GPT 5 Mini,base_1,Verbal steer,image,0.4623110268634355
GPT-5 Mini,GPT 5 Mini,base_1,Verbal steer,text,0.11780990989323799
GPT-5 Mini,GPT 5 Mini,base_1,Verbal steer,text_image,0.30341831296976735
GPT-5 Mini,GPT 5 Mini,base_2,Numerical steer,image,0.33001573944434276
GPT-5 Mini,GPT 5 Mini,base_2,Numerical steer,text,0.14086780068233887
GPT-5 Mini,GPT 5 Mini,base_2,Numerical steer,text_image,0.30636720388512234
GPT-5 Mini,GPT 5 Mini,base_3,Noise,image,0.3371223615600885
GPT-5 Mini,GPT 5 Mini,base_3,Noise,text_image,0.17105505485884553
GPT-5 Mini,GPT 5 Mini,base_4,Short context,image,0.3435479415308949
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text,0.13352778666110268
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,0.1350772695899643
GPT-5 Mini,GPT 5 Mini,base_5,Gradual noise,image,0.39242199788387316
GPT-5 Mini,GPT 5 Mini,base_5,Gradual noise,text_image,0.3312906240401847
GPT-5 Mini,GPT 5 Mini,base_6,Inconsistent Prior,image,0.49084889962531336
GPT-5 Mini,GPT 5 Mini,base_6,Inconsistent Prior,text,0.14658587118911012
GPT-5 Mini,GPT 5 Mini,base_6,Inconsistent Prior,text_image,0.2852057911131853
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,image,0.47938702728226196
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,text,0.12363856398692691
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,text_image,0.32584549218748193
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,image,0.2610446592069557
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,text,0.11674484308921028
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,text_image,0.21778379417563884
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,image,0.35331645812184576
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,text,0.3163115647750926
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,text_image,0.35943015844543674
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal steer,image,0.48905834750684224
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal steer,text,0.27038337446421484
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal steer,text_image,0.3172995732592955
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,image,0.32881401569258006
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,text,0.23721138808538694
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,text_image,0.27280309228579197
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,image,0.7699403145551591
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,text_image,0.3581284177570363
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,image,0.606266209329234
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text,0.527166273055542
