model,mse,r_squared,aic,bic
Basic Single-Stage,0.01366294509744277,-1.9785396112452043,-124.78983979964866,-121.98744503632435
Basic Two-Stage,0.014593217704841784,-2.181340236632547,-122.81389628986976,-120.01150152654544
Weber Single-Stage,0.03233586229870812,-6.049259587414951,-98.94642355530625,-96.14402879198194
Weber Two-Stage,0.03140441976444858,-5.846203916466677,-99.82324390996848,-97.02084914664417
Linear Regression,0.0016812064649921498,0.6334948274367376,-187.6294692579932,-184.8270744946689
