llm_model,base_1_text_image_wp,base_2_text_image_wp,base_3_image_wp,base_5_image_wp,base_7_text_image_wp,base_image_wp,base_text_image_wp,Δw_p:verbal_multimodal,Δw_p:numeric_multimodal,Δw_p:const_noise_image,Δw_p:incr_noise_image,Δw_p:long_multimodal,Cue score,Noise score,Context score,consistency_sum
GPT-5 Mini,0.0,0.0,0.11488118249442325,0.04174254339337035,0.0,0.0,0.0,0.0,0.0,0.11488118249442325,0.04174254339337035,0.0,2,2,1,5
anthropic_claude-3.7-sonnet,0.0,0.0570886817768481,0.0,0.0,0.0,0.0,0.0,0.0,0.0570886817768481,0.0,0.0,0.0,2,2,1,5
mistralai_mistral-small-3.2-24b-instruct,0.0,0.1344369271807497,0.0,0.0,0.0,0.0,0.0,0.0,0.1344369271807497,0.0,0.0,0.0,2,2,1,5
openai_gpt-4o-2024-08-06,0.0008732979263704044,0.2496533628366368,0.14469885415909453,0.10018741269071671,0.036562295635222494,0.08892470354834477,0.0,0.0008732979263704044,0.2496533628366368,0.055774150610749765,0.011262709142371943,0.036562295635222494,2,2,1,5
qwen_qwen2.5-vl-32b-instruct,0.0,0.06986369173010806,0.0,0.0,0.0,0.0,0.0,0.0,0.06986369173010806,0.0,0.0,0.0,2,2,1,5
meta-llama_llama-4-maverick,0.3049501065846773,0.41997090468615533,0.3436845853296358,0.0,0.34316297269696266,0.3278097018670387,0.22077056935187309,0.08417953723280422,0.19920033533428225,0.015874883462597078,-0.3278097018670387,0.12239240334508958,2,0,1,3
microsoft_phi-4-multimodal-instruct,0.18270275359989463,0.35234699379908807,0.37406857362019635,0.4679830858016384,0.0691076513028698,0.41340804363727485,0.0,0.18270275359989463,0.35234699379908807,-0.03933947001707849,0.05457504216436354,0.0691076513028698,2,0,1,3
google_gemini-2.5-flash-lite,0.3176055266923411,0.4476264835195082,0.8410390006547085,0.7788111822107329,0.36087898624703524,0.8719451482008264,0.35331160311715065,-0.03570607642480955,0.09431488040235753,-0.030906147546117868,-0.09313396599009349,0.007567383129884586,0,-2,1,-1
gemma-3-4b-it,0.8438719780634834,1.0,1.0,1.0,0.9539610032274772,1.0,0.7525018435448914,0.091370134518592,0.24749815645510864,0.0,0.0,0.20145915968258588,0,-2,-1,-3
