llm_model,model_pretty,ablation,ablation_pretty,modality,combo_model,prob,nrmse,w_img
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Bayes(range),5.679074498549959e-05,0.4174372107449282,0.8502677851429365
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Equal,1.2790661940626047e-14,0.638159147170435,0.5
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,Bayes(range),0.6256538073779453,0.00019696418389075326,1.0017481628948575e-05
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,EmpiricalLinear,0.3743461924624737,0.0031548034520163864,-0.008407805345955378
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,Bayes(stimulus),1.5958108374180104e-10,0.010131815902283601,0.06322404426751954
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,Equal,3.0722150055763612e-105,0.0822865799305221,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,EmpiricalLinear,1.0,2.764065922351523,0.5973450413710484
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Equal,1.7162045690754203e-33,1.3828686811111965,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Bayes(stimulus),6.6557438470400355e-71,1.0165388995733475,0.0961587279655968
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Bayes(range),3.929731183756474e-71,0.709122479772576,0.08453558265272292
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,EmpiricalLinear,1.0,0.5838861091493718,0.6753831760325002
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,Equal,5.015709281832693e-28,0.7137203871698189,0.5
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,Bayes(range),2.4217905133214808e-31,0.7903008265600036,0.4843423032257869
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,Bayes(stimulus),3.300625668921022e-38,0.9461068518217257,0.3681157060821161
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,Bayes(stimulus),0.7979223104244534,0.3037708727668624,0.6341615786348258
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,Bayes(range),0.1584097752165581,0.30999785166595284,0.5873712688049989
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,Equal,0.039582270626288,0.3242467234444169,0.5
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,EmpiricalLinear,0.0040856437327004,0.3156465524523513,0.5207076490487891
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,EmpiricalLinear,1.0,3.3663968870941727,0.5208705375237126
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,Equal,1.5327079387937383e-38,1.9828674019232766,0.5
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,Bayes(range),1.1249142883931976e-60,1.2424574050805544,0.21095321404057357
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,Bayes(stimulus),2.4491231111624467e-63,1.2374534649923026,0.1961350568135873
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_3,Noise,text_image,Bayes(range),0.9076601013467668,0.31892774032295285,0.5950664075208637
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_3,Noise,text_image,EmpiricalLinear,0.0923257409942748,0.479160959060411,0.6147479580392121
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_3,Noise,text_image,Bayes(stimulus),1.4021641988871455e-05,0.3292565327139803,0.5012448797984055
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_3,Noise,text_image,Equal,1.3601696940279253e-07,0.45408458478496905,0.5
meta-llama_llama-4-maverick,Llama 4 Maverick,base_3,Noise,text_image,EmpiricalLinear,0.9999999999999488,0.4113946382242293,0.8979180904718342
meta-llama_llama-4-maverick,Llama 4 Maverick,base_3,Noise,text_image,Bayes(range),5.1351496847267806e-14,0.47148698786479687,0.6692498546132349
meta-llama_llama-4-maverick,Llama 4 Maverick,base_3,Noise,text_image,Equal,1.2231055557174363e-24,0.5447598644585979,0.5
meta-llama_llama-4-maverick,Llama 4 Maverick,base_3,Noise,text_image,Bayes(stimulus),0.0,0.5684196307797869,0.6533521714677134
openai_gpt-4o-2024-08-06,GPT 4o,base_3,Noise,text_image,EmpiricalLinear,0.9999999999802982,0.34497726735745393,0.8539545140277874
openai_gpt-4o-2024-08-06,GPT 4o,base_3,Noise,text_image,Bayes(range),1.9701325310121863e-11,0.3959007127296223,0.6645128241359415
openai_gpt-4o-2024-08-06,GPT 4o,base_3,Noise,text_image,Bayes(stimulus),5.358545998555539e-16,0.4218874124909582,0.5974258282248502
openai_gpt-4o-2024-08-06,GPT 4o,base_3,Noise,text_image,Equal,1.0108830988107396e-24,0.5409475163194111,0.5
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_3,Noise,text_image,EmpiricalLinear,0.9999932529951704,0.5517061905342937,0.9109448567447468
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_3,Noise,text_image,Bayes(stimulus),6.126108252445238e-06,0.48622337868256377,0.7140972198605835
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_3,Noise,text_image,Bayes(range),6.20896577103601e-07,0.479780039318685,0.7399094571271615
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_3,Noise,text_image,Equal,1.853872869800386e-34,0.6906710327670325,0.5
GPT-5 Mini,GPT 5 Mini,base_3,Noise,text_image,Bayes(range),0.8344344437127564,0.005329013593591287,0.0008364517753865105
GPT-5 Mini,GPT 5 Mini,base_3,Noise,text_image,EmpiricalLinear,0.1655655562872435,0.00950434859842661,0.014024643066511324
GPT-5 Mini,GPT 5 Mini,base_3,Noise,text_image,Bayes(stimulus),1.0856653188497188e-35,0.07154692853816766,0.0942295847379717
GPT-5 Mini,GPT 5 Mini,base_3,Noise,text_image,Equal,2.659493001189498e-52,0.10510102254254981,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_3,Noise,text_image,EmpiricalLinear,0.9998798332418268,1.5600952051849444,0.38939197211378196
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_3,Noise,text_image,Equal,0.0001201667581649,1.2909726700626205,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_3,Noise,text_image,Bayes(stimulus),8.354949321042545e-15,1.7420953172045102,0.4544973870178813
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_3,Noise,text_image,Bayes(range),1.6258086572106948e-35,0.6619277319951914,0.06081446734781417
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_3,Noise,text_image,EmpiricalLinear,1.0,0.893895092329718,0.5188592075162785
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_3,Noise,text_image,Equal,9.990484881950818e-21,0.8153275363174238,0.5
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_3,Noise,text_image,Bayes(range),3.870376385309576e-30,1.0145653114466464,0.24854176546399231
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_3,Noise,text_image,Bayes(stimulus),2.9168308609483948e-30,0.9606285194424159,0.2940346261719746
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,text_image,EmpiricalLinear,0.4939286182964487,0.20922866330646137,0.614724390250856
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,text_image,Bayes(range),0.2686085667510408,0.21051061606734625,0.6625446088404141
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,text_image,Equal,0.2365340520041706,0.2226200665056151,0.5
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,text_image,Bayes(stimulus),0.0009287629483399,0.25439016136757014,0.729938378202386
gemma-3-4b-it,Gemma 3 4B it,base_3,Noise,text_image,EmpiricalLinear,1.0,3.8539813081791894,0.1525428432604471
gemma-3-4b-it,Gemma 3 4B it,base_3,Noise,text_image,Equal,2.9177306391899245e-69,1.9499541481274851,0.5
gemma-3-4b-it,Gemma 3 4B it,base_3,Noise,text_image,Bayes(stimulus),1.7605716911119224e-77,1.9741675397325453,0.3602819589350986
gemma-3-4b-it,Gemma 3 4B it,base_3,Noise,text_image,Bayes(range),1.094073822158936e-82,1.2748904974464892,0.12636796597667896
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_2,Numerical steer,text_image,Bayes(range),0.5776374909787697,0.28821755204323146,0.4809240702634363
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_2,Numerical steer,text_image,EmpiricalLinear,0.404042650451808,0.3718169602649883,0.43993864009694
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_2,Numerical steer,text_image,Bayes(stimulus),0.017083058997112,0.2987445109087028,0.48444422470116344
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_2,Numerical steer,text_image,Equal,0.0012367995723102,0.35512157461196237,0.5
meta-llama_llama-4-maverick,Llama 4 Maverick,base_2,Numerical steer,text_image,EmpiricalLinear,0.995411968382948,0.3894232901767083,0.814050315987896
meta-llama_llama-4-maverick,Llama 4 Maverick,base_2,Numerical steer,text_image,Bayes(stimulus),0.0043713105339532,0.4476257765273956,0.6952379834796496
meta-llama_llama-4-maverick,Llama 4 Maverick,base_2,Numerical steer,text_image,Bayes(range),0.0002166964594974,0.42769562735887684,0.6487429501258367
meta-llama_llama-4-maverick,Llama 4 Maverick,base_2,Numerical steer,text_image,Equal,2.4623601098870713e-08,0.4482740552986023,0.5
openai_gpt-4o-2024-08-06,GPT 4o,base_2,Numerical steer,text_image,EmpiricalLinear,0.8747610232996497,0.2774726715542663,0.8156250479602248
openai_gpt-4o-2024-08-06,GPT 4o,base_2,Numerical steer,text_image,Bayes(range),0.1252386086638909,0.23855801631676382,0.8099758724061629
openai_gpt-4o-2024-08-06,GPT 4o,base_2,Numerical steer,text_image,Bayes(stimulus),3.680364584435526e-07,0.243421580756255,0.7249465373032851
openai_gpt-4o-2024-08-06,GPT 4o,base_2,Numerical steer,text_image,Equal,9.531960791153662e-16,0.32584651869695214,0.5
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_2,Numerical steer,text_image,EmpiricalLinear,0.9999999999892576,0.49192556226507617,0.961023040130312
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_2,Numerical steer,text_image,Bayes(range),1.0742396087106272e-11,0.3468363368395438,0.670614935308102
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_2,Numerical steer,text_image,Equal,3.06919549803955e-24,0.36022002733722724,0.5
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_2,Numerical steer,text_image,Bayes(stimulus),2.4396693930603633e-27,0.38902537374645896,0.5972171033545217
GPT-5 Mini,GPT 5 Mini,base_2,Numerical steer,text_image,Bayes(range),0.7708109753432388,0.023765635964028,0.019478851419850726
GPT-5 Mini,GPT 5 Mini,base_2,Numerical steer,text_image,EmpiricalLinear,0.2291890246567612,0.02376233924949235,-7.348344453758494e-05
GPT-5 Mini,GPT 5 Mini,base_2,Numerical steer,text_image,Bayes(stimulus),2.74900438331246e-38,0.047611493564081835,0.11042172780055366
GPT-5 Mini,GPT 5 Mini,base_2,Numerical steer,text_image,Equal,1.2067688085869439e-80,0.0954585581064538,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_2,Numerical steer,text_image,EmpiricalLinear,0.999999999997342,0.594343465265337,0.2884556005720085
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_2,Numerical steer,text_image,Equal,2.3334584237758215e-12,0.5348238012422015,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_2,Numerical steer,text_image,Bayes(range),3.247029020010112e-13,0.4326150751241307,0.1884126737800548
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_2,Numerical steer,text_image,Bayes(stimulus),3.10759131212347e-17,0.4408841072110079,0.20074955298848865
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_2,Numerical steer,text_image,Bayes(range),0.702177911227896,0.36372921161122423,0.6894672152584498
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_2,Numerical steer,text_image,Bayes(stimulus),0.2940018555810281,0.3491847452291665,0.693158722907808
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_2,Numerical steer,text_image,EmpiricalLinear,0.0038169820722961,0.36120645912217736,0.7145394610683568
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_2,Numerical steer,text_image,Equal,3.251118779763033e-06,0.40521708866579714,0.5
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,text_image,Bayes(stimulus),0.9994421292205636,0.22337029312368148,0.6115323860956932
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,text_image,Bayes(range),0.0004973733254381,0.2196916742539884,0.5458812783613877
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,text_image,Equal,5.3461642387033536e-05,0.22295503414755768,0.5
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,text_image,EmpiricalLinear,7.035811611195272e-06,0.225384842179226,0.5330754185008512
gemma-3-4b-it,Gemma 3 4B it,base_2,Numerical steer,text_image,EmpiricalLinear,1.0,2.8280063115569707,0.40306258162965425
gemma-3-4b-it,Gemma 3 4B it,base_2,Numerical steer,text_image,Equal,6.751981180443327e-37,1.6380056020333358,0.5
gemma-3-4b-it,Gemma 3 4B it,base_2,Numerical steer,text_image,Bayes(range),2.2943653005597252e-48,1.17405875850511,0.11726913845725366
gemma-3-4b-it,Gemma 3 4B it,base_2,Numerical steer,text_image,Bayes(stimulus),5.705244323895038e-50,1.4262764922017803,0.26286763128615626
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_5,Gradual noise,text_image,Bayes(stimulus),0.9747426221430396,0.2895002401399752,0.5194955377629125
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_5,Gradual noise,text_image,Bayes(range),0.0244891356792227,0.3367283858027183,0.5299757322397758
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_5,Gradual noise,text_image,EmpiricalLinear,0.0007682421752365,0.4342961401972008,0.6296303995719735
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_5,Gradual noise,text_image,Equal,2.5009713984313852e-12,0.42804250540858435,0.5
meta-llama_llama-4-maverick,Llama 4 Maverick,base_5,Gradual noise,text_image,EmpiricalLinear,1.0,0.38032381505264273,0.846331263305343
meta-llama_llama-4-maverick,Llama 4 Maverick,base_5,Gradual noise,text_image,Bayes(range),3.8377350898483053e-22,0.4844283100279047,0.633786967655623
meta-llama_llama-4-maverick,Llama 4 Maverick,base_5,Gradual noise,text_image,Equal,3.1407527676985047e-32,0.5486514437580264,0.5
meta-llama_llama-4-maverick,Llama 4 Maverick,base_5,Gradual noise,text_image,Bayes(stimulus),0.0,0.48886149620833297,0.7094710638189738
openai_gpt-4o-2024-08-06,GPT 4o,base_5,Gradual noise,text_image,EmpiricalLinear,0.9999999999998428,0.3126311837212299,0.8118230063371574
openai_gpt-4o-2024-08-06,GPT 4o,base_5,Gradual noise,text_image,Bayes(range),1.571231188449637e-13,0.40094006833070617,0.6633893252512127
openai_gpt-4o-2024-08-06,GPT 4o,base_5,Gradual noise,text_image,Bayes(stimulus),3.0116287504443185e-26,0.46422011514010836,0.6168195441965431
openai_gpt-4o-2024-08-06,GPT 4o,base_5,Gradual noise,text_image,Equal,9.136041354952319e-34,0.5492100070262389,0.5
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_5,Gradual noise,text_image,Bayes(stimulus),0.7808496425283814,0.6100072999934814,0.5505088653748553
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_5,Gradual noise,text_image,Bayes(range),0.2191503574716161,0.6132295917007309,0.47343944551393013
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_5,Gradual noise,text_image,EmpiricalLinear,2.469837835523711e-15,0.7039821757911247,0.23391323987784182
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_5,Gradual noise,text_image,Equal,9.315415376954712e-50,1.1760508192752888,0.5
GPT-5 Mini,GPT 5 Mini,base_5,Gradual noise,text_image,EmpiricalLinear,0.6342659070437582,0.012316284286378617,0.026570704667587777
GPT-5 Mini,GPT 5 Mini,base_5,Gradual noise,text_image,Bayes(range),0.3657340929562418,0.0053751728355764085,0.0005958162630825179
GPT-5 Mini,GPT 5 Mini,base_5,Gradual noise,text_image,Bayes(stimulus),2.715335213209615e-41,0.07655641775895426,0.1617880240841662
GPT-5 Mini,GPT 5 Mini,base_5,Gradual noise,text_image,Equal,1.4578173396868535e-60,0.11237062520412786,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_5,Gradual noise,text_image,EmpiricalLinear,1.0,1.7550718964686036,0.6819618777391616
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_5,Gradual noise,text_image,Equal,6.5492440334773475e-24,0.9395757187134176,0.5
