model,scope,k,aic,rmse_to_llm,r2_to_llm,r2_to_truth,rmse_vs_truth,bias_vs_truth,aic_weight,base,LLM_model,w_img,rebased_RMSE
Combo_Oracle,overall,0.0,-4.642502556617945,0.9811532143351618,0.7469826203046078,0.8501947726146941,0.7615422450530823,-3.2760679415168556e-16,0.987211310724509,base_4,google_gemini-2.5-flash-lite,0.6887787289400411,1.0592732307709833
EmpiricalLinear,overall,2.0,4.050165186187219,1.0002056161609632,0.7370608410798045,0.8478456574991257,0.767489940249875,0.0107552302367751,0.0127885499963953,base_4,google_gemini-2.5-flash-lite,0.7800401477378175,1.0675462246169236
Combo_NonOracle,overall,0.0,27.177552510291317,1.1178234115305938,0.6715849173130332,0.8081013847486176,0.8619189642726344,-0.3588435489454786,1.2155503643280313e-07,base_4,google_gemini-2.5-flash-lite,0.5201243466946344,1.198893025145589
Equal,overall,0.0,31.02844078720103,1.135605218450665,0.6610532679888531,0.7996560280519371,0.8806810585324262,-0.3874602545875555,1.772405925465665e-08,base_4,google_gemini-2.5-flash-lite,0.5,1.2249903090870913
LLM(Combined),overall,,,0.0,1.0,0.8664908676000385,0.7189290004985777,0.2100887703368105,,base_4,google_gemini-2.5-flash-lite,,1.0
Combo_Oracle,overall,0.0,-40.105920955613094,0.689801695888467,0.8791751277102405,0.8528728316462597,0.8338130468624423,1.46384961765391e-15,0.99674497072088,base_4,meta-llama_llama-4-maverick,0.5482094817968756,1.1477661683422093
EmpiricalLinear,overall,2.0,-28.657333459676178,0.7390551616200238,0.8613047658019753,0.8015337112209718,0.9684241752923014,-0.0814472914211752,0.0032550290247761,base_4,meta-llama_llama-4-maverick,0.8897589340365254,1.3330620205425758
Combo_NonOracle,overall,0.0,4.964209296134885,1.0470376602216385,0.7216235867232685,0.7202382522056732,1.1497844063933615,-0.6701258572495026,1.6282819908857718e-10,base_4,meta-llama_llama-4-maverick,0.5081165167442491,1.5827092745928741
Equal,overall,0.0,6.116584236895429,1.0582695130518196,0.7156191163849995,0.7159809594542081,1.15849983450392,-0.682645480907758,9.151548393181138e-11,base_4,meta-llama_llama-4-maverick,0.5,1.5947062966658183
LLM(Combined),overall,,,0.0,1.0,0.8883172657546684,0.7264659560986806,0.0638018518518519,,base_4,meta-llama_llama-4-maverick,,1.0
EmpiricalLinear,overall,2.0,-136.4637323335127,0.626120495792774,0.8870900915865645,0.896261039624558,0.6537373876726461,-0.2972768778433676,0.9999819814108049,base_4,openai_gpt-4o-2024-08-06,0.8277096273307809,0.8764041936833801
Combo_NonOracle,overall,0.0,-114.56911670607457,0.6825653158055991,0.8658147911975855,0.841010265862728,0.8093137502682118,-0.5317517537400722,1.7605031211697233e-05,base_4,openai_gpt-4o-2024-08-06,0.718914677490068,1.0849707820227257
Combo_Oracle,overall,0.0,-107.06683215839016,0.6998498684887453,0.8589328199431894,0.9215737278832156,0.5684119026209794,-1.6697754290362353e-15,4.135579834512553e-07,base_4,openai_gpt-4o-2024-08-06,0.846789632810226,0.7620163456920479
Equal,overall,0.0,9.05861623042004,1.0306558914917563,0.6940548348188422,0.6211580100752245,1.2492847314897164,-1.0035566666666669,2.5131342393254407e-32,base_4,openai_gpt-4o-2024-08-06,0.5,1.6747984717227993
LLM(Combined),overall,,,0.0,1.0,0.8649380557192827,0.7459313777642909,-0.3042699999999998,,base_4,openai_gpt-4o-2024-08-06,,1.0
Combo_NonOracle,overall,0.0,24.933169731973184,1.1356555367810952,0.6666738490702466,0.8347566071434936,0.8352894561054314,-0.2760083469030475,0.6384052769204767,base_4,qwen_qwen2.5-vl-32b-instruct,0.9342952104417287,0.6782089261684288
EmpiricalLinear,overall,2.0,26.075609381065966,1.1192184845665518,0.676252897301387,0.8306466757833231,0.8456133105281562,-0.3471336903498506,0.3605942941410603,base_4,qwen_qwen2.5-vl-32b-instruct,0.8541426904770879,0.6865913260308684
Combo_Oracle,overall,0.0,37.85025972067943,1.2130205484440373,0.6197121433030501,0.8471357270648723,0.8033928181227208,-9.06304509898087e-16,0.0010004284093422,base_4,qwen_qwen2.5-vl-32b-instruct,0.8999855057662742,0.6523106169816949
Equal,overall,0.0,66.75521456260181,1.4057737028466333,0.4892516503991866,0.6023395325874135,1.295779655182369,-0.6613910649211021,5.291207854014046e-10,base_4,qwen_qwen2.5-vl-32b-instruct,0.5,1.0521015464383008
LLM(Combined),overall,,,0.0,1.0,0.6407497320359241,1.2316108265109926,-0.6115231631923562,,base_4,qwen_qwen2.5-vl-32b-instruct,,1.0
